Title,Artist,c_lyrics
Exile,Enya,cold as the northern winds  in december mornings   cold is the cry that rings  from this far distant shore   winter has come too late  too close beside me   how can i chase away  all these fears deep inside    i ll wait the signs to come   i ll find a way  i will wait the time to come   i ll find a way home   my light shall be the moon  and my path   the ocean   my guide the morning star  as i sail home to you    i ll wait the signs to come   i ll find a way  i will wait the time to come   i ll find a way home   my light shall be the moon  and my path   the ocean   my guide the morning star  as i sail home to you    who then can warm my soul   who can quell my passion   out of these dreams   a boat  i will sail home to you  
"Adeste, Fideles",Enya,adeste fideles laeti triumphantes venite  venite in bethlehem natum videte regem angelorum  venite  adoremus  venite  adoremus  venite  adoremus  dominum   deum de deo  lumen de lumine  gestant puellae viscera deum verum  genitum non factum   venite  adoremus  venite  adoremus  venite  adoremus  dominum   gloria in excelsis deo   venite  adoremus  venite  adoremus  venite  adoremus  dominum 
The Magic of the Night,Enya,when the stars are in the skies  make a wish then close your eyes  are you dreaming  angels singing  everything is right  it s the magic of the night   far horizons made of snow  bring the hopes each child will know  someone s dreaming  bells are ringing  everything is white  it s the magic of the night   high up in the sky  can you see a shining light  can it be that we can see an angel who is flying  flying   can an angel lose their way  who of us on earth can say  someone s dreaming  angels singing  everything is right  it s the magic of the night   high up in the sky  can you see a shining light  can it be that we can see an angel who is flying  flying   when the stars are in the skies  make a wish then close your eyes  are you dreaming  bells are ringing  angels are in flight  it s the magic of the night   angels are in flight  it s the magic of the night
We Wish You a Merry Christmas,Enya,we wish you a merry christmas we wish you a merry christmas we wish you a merry christmas and a happy new year  we wish you a merry christmas we wish you a merry christmas we wish you a merry christmas and a happy new year  good tidings we bring to you and your kin we wish you a merry christmas and a happy new year  we all want some figgy pudding we all want some figgy pudding we all want some figgy pudding so bring some right here  we won t go until we get some we won t go until we get some we won t go until we get some so bring some right here  good tidings we bring to you and your kin we wish you a merry christmas and a happy new year  good tidings we bring to you and your kin we wish you a merry christmas and a happy new year  we wish you a merry christmas we wish you a merry christmas we wish you a merry christmas and a happy new year  we wish you a merry christmas we wish you a merry christmas we wish you a merry christmas and a happy new year
Christmas Secrets,Enya,underneath a winter sky  a distant train sings out the miles  and so i wonder can it be  will every mile bring you to me   a promise made may still come true  so i am waiting here for you  if you don t come  what will i do  who shall i tell my secrets to   christmas bells ring out their chimes  i hear them echo through the night  and moonlight shines upon the road  and trembles on the falling snow   i look into the midnight blue  so many stars i never knew  if you don t come  what will i do  who shall i tell my secrets to   i look into the midnight blue  so many stars i never knew  if you don t come  what will i do  who shall i tell my secrets to 
Amid the Falling Snow,Enya,how i remember sleepless nights when we would read by candlelight  and on the windowpane outside a new world made of snow  a million feathers falling down  a million stars that touch the ground  so many secrets to be found amid the falling snow   maybe i am falling down  tell me should i touch the ground  maybe i won t make a sound in the darkness all around   the silence of a winter s night brings memories i hold inside  remembering a blue moonlight upon the fallen snow   maybe i am falling down  tell me should i touch the ground  maybe i won t make a sound in the darkness all around   i close my window to the night  i leave the sky her tears of white  and all is lit by candlelight amid the falling snow   and all is lit by candlelight amid the falling snow 
Amarantine [Single Version],Enya,you know when you gave your love away it opens your heart  everything is new and you know time will always find a way to let your heart believe it s true  you know love is everything you say a whisper  a word  promises you give you feel it in the heartbeat of the day you know this is the way love is  chorus amarantine amarantine amarantine love is always love  you know love may sometimes make you cry so let the tears go  they will flow away for you know love will always let you fly how far a heart can fly away  chorus  you know when love s shining in your eyes it may be the stars fallen from above and you know love is with you when you rise for night and day belong to love  
Less Than a Pearl,Enya,out of the night has come the day out of the night  our small earth   our words drift away  our words journey to find those who will listen   we call into the distance  repeat  x4   less than a pearl in the sea of stars  we are a lost island in the shadows   it may be our words become lost  it may be our words find nothing  find no one   we call into the distance  repeat  x2 
"Long, Long Journey",Enya,it may be the stars fallen from above and you know love is with you when you rise for night and day belong to love  city lights shine on the harbour  night has fallen down  through the darkness and the shadow i will still go on   long  long journey through the darkness  long  long way to go  but what are miles across the ocean to the heart that s coming home   where the road runs through the valley  where the river flows  i will follow every highway to the place i know   long  long journey through the darkness  long  long way to go  but what are miles across the ocean to the heart that s coming home   long  long journey out of nowhere  long  long way to go  but what are sighs  and what is sadness to the heart that s coming home    repeat 
Someone Said Goodbye,Enya,summer  when the day is over there s a heart a little colder  someone said goodbye  but you don t know why  somewhere there is someone keeping all the tears they have been weeping  someone said goodbye  but you don t know why   is there a reason why a broken heart begins to cry  is there a reason you were lost although you don t know why  give me a reason why you never want to say goodbye  if there s a reason  i don t know why   always looking for meaning  all the time you keep believing  but i don t know why you won t say goodbye   even when the sun is shining you don t see the silver lining  but you don t know why you won t say goodbye   is there a reason why a broken dream can never fly  is there a reason you believe and you close your eyes  give me a reason why you hide away so much inside  if there s a reason  i don t know why   is there a reason why a broken heart begins to cry  is there a reason you were lost although you don t know why  give me a reason why you never want to say goodbye  if there s a reason  i don t know why   repeat x4 
A Moment Lost,Enya,it s only now when words are said that break my heart in two  i wonder how you can endure all i ve said  all i say to you   how strong  how brave  how true of you to bear the hurt i gave  i know it tears your heart in two  all i ve said  all i say to you   after all the words are said  after all the dreams we made  every one a precious one  every one a summer sun  a moment lost  forever gone  can never be again  so know how much it means to me  all you said  all you gave  all your love to me 
How Can I Keep from Singing?,Enya,my life goes on in endless song  above earth s lamentations   i hear the real  though far off hymn  that hails a new creation     through all the tumult and the strife  i hear it s music ringing   it sounds an echo in my soul   how can i keep from singing     while though the tempest loudly roars   i hear the truth  it liveth   and though the darkness  round me close   songs in the night it giveth     no storm can shake my inmost calm   while to that rock i m clinging   since love is lord of heaven and earth  how can i keep from singing    when tyrants tremble in their fear  and hear their death knell ringing   when friends rejoice both far and near  how can i keep from singing     in prison cell and dungeon vile  our thoughts to them are winging   when friends by shame are undefiled  how can i keep from singing   
You Should Really Know,Enya,last week when you were cruisin  your best friend moved to me  one day  i didn t want to tell you  so i just kept it to myself   chorus   you should really know  i ain t playin you  babe you gotta know  cause your love is all i m living for  and if you look into my eyes and you will know  oh baby you should really know   background  ya 3ayni  ya leel   ya leili ya 3ayni  ya leel  ya 3eyni ya leel  leely leely ya 3yuni x2  i m mad you think i hurt you  cause your love means everything to me  and i ain t keepin secrets   no no  i m just keepin to myself   repeat chorus    bridge   do you think i want you to leave  when you mean so much to me  but if you don t want to stay  then just let go of me  it would be better off that way  if you won t trust in me  an millions people say  you re the only one i see   naila boss   boy you know that i got ya  anything that you do boy you know i support ya   huh  how could you think i would do this to you  i thought wifey would mean more to you  i ain t trying to say i weren t there that day  i m just trying to say it didn t happen that way  naila boss the name is true  the game is true  you know i belong to you  come on  but if your trying give oramators  then this right here is the point that i make yeh  do you think i d be your wife  allezay  hot grade  i m gonna be alright  trust  cause the love we shared was so wrong  shame  cause i felt it was so strong  it s okay  make your moves  cause i know you ll be back in a year or two   repeat chorus   background  ya 3ayni  ya leel   ya leili ya 3ayni  ya leel  ya 3eyni  ya leel  leely leely ya 3yuni x2 
Ready Or Not,Enya,ready or not  here i come  you can t hide gonna find you and take it slowly ready or not  here i come  you can t hide gonna find you and make you want me  now that i escape  sleepwalker awake those who could relate know the world ain t cake jail bars ain t golden gates those who fake  they break when they meet their 400 pound mate if i could rule the world everyone would have a gun in the ghetto of course when giddyuping on their horse i kick a rhyme drinking moonshine i pour a sip on the concrete  for the deceased but no don t weep  wyclef s in a state of sleep thinking bout the robbery that i did last week money in the bag  banker looked like a drag i want to play with pelicans from here to baghdad gun blast  think fast  i think i m hit my girl pinched my hips to see if i still exist i think not  i ll send a letter to my friends a born again hooligan only to be king again  ready or not  here i come  you can t hide gonna find you and take it slowly ready or not  here i come  you can t hide gonna find you and make you want me  i play my enemies like a game of chess  where i rest no stress  if you don t smoke sess  lest i must confess  my destiny s manifest in some goretex and sweats i make treks like i m homeless rap orgies with porgy and bess capture your bounty like elliot ness  yes bless you if you represent the fu but i ll hex you with some witch s brew if you re doo doo  voodoo i can do what you do  easy  believe me fronting niggas give me hee bee gee bees so while you re imitating al capone  i ll be nina simone and defecating on your microphone  ready or not  here i come  you can t hide gonna find you and take it slowly  you can t run away from these styles i got  oh baby  hey baby cause i got a lot  oh yeah and anywhere you go my whole crew s gonna know baby  hey baby you can t hide from the block  oh no  ready or not  refugees taking over the buffalo soldier  dreadlock rasta on the twelfth hour  fly by in my bomber crews run for cover  now they re under pushing up flowers superfly true lies  do or die toss me high   only puff la with my crew from lock high i refugee from guantanamo bay dance around the border like i m cassius clay
Isobella,Enya,i do bheatha sa tús  sa deireadh  i do bheatha sa tús  sa deireadh  isobella  o isobella  o  i do lá  s tú go sámh i do lá  s tú go fior  grá  anois go deo na ndeor   i do bheatha sa tús  sa deireadh i do bheatha sa tús  sa deireadh isobella  o isobella  o  i do lá  s tú gan buairt i do lá  s tú gan brón grá  anois go deo grá  anois go deo na ndeor      translation   out of morning and into midnight  through the sunrise and under moonlight  isobella  oh  isobella  dream of me   everything that comes from day comes into the heart to stay  love is in your name each day   in the moment you come before me  in that moment i see you only isobella  oh  isobella  dream of me   everything that comes from night comes within your shining light  love is in your name each night 
March of the Celts,Enya,hi ra u o beo go deo    ole ole ole  ole ole ole ole ole ole ole  ole ole ole  ole ole ole    hi ri u o marbh go deo  
On Your Shore,Enya,strange how my heart beats to find myself upon your shore  strange how i still feel my loss of comfort gone before  cool waves wash over and drift away with dreams of youth so time is stolen i cannot hold you long enough  and so this is where i should be now days and nights falling by days and nights falling by me  i know of a dream i should be holding days and nights falling by days and nights falling by me  soft blue horizons reach far into my childhood days as you are rising to bring me my forgotten ways strange how i falter to find i m standing in deep water strange how my heart beats to find i m standing on your shore 
I Want Tomorrow,Enya,dawn breaks  there is blue in the sky  your face before me though i don t know why  thoughts disappearing like tears from the moon    waiting here  as i sit by the stone  they came before me those men from the sun  signs from the heavens say i am the one     now you re here  i can see your light  this light that i must follow  you  you may take my life away  so far away  now i know i must leave your spell i want tomorrow    now you re here  i can see your light  this light that i must follow  you  you may take my life away  so far away  now i know i must leave your spell i want tomorrow 
Orinoco Flow [Sail Away],Enya,let me sail  let me sail  let the orinoco flow  let me reach  let me beach on the shores of tripoli  let me sail  let me sail  let me crash upon your shore  let me reach  let me beach far beyond the yellow sea   from bissau to palau   in the shade of avalon  from fiji to tiree and the isles of ebony  from peru to cebu hear the power of babylon  from bali to cali  far beneath the coral sea   from the north to the south  ebudae into khartoum  from the deep sea of clouds to the island of the moon  carry me on the waves to the lands i ve never been  carry me on the waves to the lands i ve never seen   we can sail  we can sail we can steer  we can near with rob dickins at the wheel  we can sigh  say goodbye ross and his dependencies we can sail  we can sail
Ebudae,Enya,eww harlay eyuwee heewah oohah sharlay marc toh cheeteeh woodenuh  aran doi dig coh hoh partenuh ooh lee ah ooh harlorh  eww harlay eyuwee heewah oohah harlay mwahnee kahah montenah  ooh de keewah  ooh de keewah  oohnah li ansai angrass de la ooh hoo lee ah ooh harlorh   ahh  amharc  mn ag obair l  s mall san och   ceolann siad ar laetha geal  a bh  bealach fada annon  s anall a choch    ahh  eww harlay eyuwee heewah oohah harlay wooneenchi doidig dohtenuh  dohtenuh  dohtenuh ooh de keewah  woohnah wui an jaeshah woodenuh ooh lee ah ooh harlorh  eww harlay eyuwee heewah oohah sharlay marc toh cheeteeh woodenuh  ooh de keewah  ooh de keewah  aran doi dig coh hoh partenuh ooh lee ah ooh harlorh  ooh  eww harlay eyuwee heewah oohah ooh  li ah  kahah montenah 
The Longships,Enya,hi ri u ho ro ho ho ri u him o ro ho   hoireann is oro tá muid beo him oro ho go deo na ndeor  
Na Laetha Geal M'Óige,Enya,ag amharc trí m óige  sé mé bhí sámh  gan eolas marbh  bhí mé óg gan am     anois táim buartha   s fad ar shiúl an lá  ochón is ochón ó    na laetha geal m óige  bhí siad lán de dhóchas  an bealach mó a bhí romhan ansin  bhí sé i ndán dom go mbeadh mé slán  
Marble Halls,Enya,i dreamt i dwelt in marble halls with vassals and serfs at my side  and of all who assembled within those walls that i was the hope and the pride  i had riches all too great to count and a high ancestral name    but i also dreamt which pleased me most that you loved me still the same  that you loved me you loved me still the same  that you loved me you loved me still the same   i dreamt that suitors sought my hand  that knights upon bended knee and with vows no maidens heart could withstand  they pledged their faith to me  and i dreamt that one of that noble host came forth my hand to claim    but i also dreamt which charmed me most that you loved me still the same that you loved me you loved me still the same  that you loved me you loved me still the same  
After Ventus,Enya,mare nubium  umbriel  mare imbrium  ariel  et itur ad astra  et itur ad astra  mare undarum  io  vela   mirabile dictu  mirabilia  mirabile visu  mirabilia  et itur ad astra  et itur ad astra  sempervirent  rosetum   afer ventus  zephyrus  volturnus  africus  et itur ad astra  et itur ad astra  etesiarum  eurus     suus cuique mos  suum cuique  meus mihi  suus cuique carus  mememto  terrigena  mememto  vita brevis  meus mihi  suus cuique carus  
Hope Has a Place,Enya,one look at love and you may see it weaves a web over mystery  all ravelled threads can rend apart for hope has a place in the lover s heart  hope has a place in a lover s heart    whispering world  a sigh of sighs  the ebb and the flow of the ocean tides  one breath  one word may end or may start a hope in a place of the lover s heart  hope has a place in a lover s heart   look to love you may dream  and if it should leave then give it wings  but if such a love is meant to be  hope is home  and the heart is free  under the heavens we journey far  on roads of life we re the wanderers  so let love rise  so let love depart  let hope have a place in the lover s heart  hope has a place in a lover s heart    look to love and you may dream  and if it should leave then give it wings  but if such a love is meant to be  hope is home  and the heart is free  hope is home  and the heart is free  
Tempus Vernum,Enya,ergo  oceanus  maritimus  ergo opacare  matutinus  ergo septentrio  meridies  ergo occidens et orientis  ergo oceanus  maritimus  opacare  matutinus  septentrio  meridies  occidens et orientis  ergo terra  stella  hiems et aestas  ergo autumnus et  tempus vernum  ergo radius solis  et umbra  ignis  aqua caelum  luna  terra  stella  hierns et aestas  autumnus et  tempus vernum  tempus vernum   translation   therefore   ocean  sea    therefore dusk  dawn    therefore north  south  therefore west and east  therefore  ocean  sea dusk  dawn  north  south  west and east  therefore earth  star  winter and summer  therefore autumn and  spring time  therefore ray of the sun  and shade  fire  water sky  moon  earth  star  winter and summer  autumn and  spring time  spring time
Deora Ar Mo Chroi [Tears on My Heart],Enya,ba dheas an lá go oíche na glórtha binne i mo thaobh  s aoibhneas i gach áit gan gruaim áthas are mo chroí go deo he a ro he a o ro  ma shiúlaim ó na laetha beo an ghrian  s an ghealach are mo chúl nil uaim ach smaointe ó mo shaoil deora are mo chroí go brón he a ro he a ro he a o ro
Deora Ar Mo Chroi,Enya,how beautiful the day and night  the earth is singing in the wind  the voices rise and touch the sky telling all the earth s believing  and in the night skies fall down on me   and when i move away from view my voice is singing in the wind  it rises up to touch the sky telling all that i believe in  and from the night earth shall sing  and from the night earth shall sing  and from the night earth shall sing again    adaptation   ba dheas an la go oiche na glortha binne i mo thaobh  s aoibhneas i gachait gan gruaim athas are mo chroi go deo he a ro he a o ro  ma shilaim o na laetha beo an ghrian  s an ghealach are mo chul nil uaim ach smaointe o mo shaoil deora are mo chroi go bron he a ro he a o ro
Lazy Days,Enya,lazy old day rolling away dreaming the day away don t want to go now that i m in the flow crazy amazing day  one red balloon floats to the moon just let it fly away i only know that i m longing to go back to my lazy day  and how it sings and how it sighs and how it never stays and how it rings and how it cries and how it sails away  away  away
Deireadh an Tuath,Enya,sí an ghealach mall san oiche  sí an ghrian  fán liom go deo     hoireann is o hi o ho ra ha   sí na samhna   tús na bliain you re   sí an chrann marbh  deireadh an tua    hoireann is o ho o ho ro ho   haireann is o ho o ho ro ho 
Dan y Dwr,Enya,dan y dwr  tawelwch sydd  dan y dwr  galwaf i  nid yw r swn gyda fi    dan y dwr  tawelwch am byth  dan y dwr  galwaf i  nid yw r swn ddim fwy gyda fi  
Angeles,Enya,angels  answer me  are you near if rain should fall  am i to believe you will rise to calm the storm  for so great a treasure words will never do  surely  if this is  promises are mine to give you  mine to give  here  all too soon the day  wish the moon to fall and alter tomorrow  i should know heaven has her way each one given memories to own   angels  all could be should you move both earth and sea angels  i could feel all those dark clouds disappearing  even  as i breathe comes an angel to their keep  surely  if this is promises are mine to give you  mine to give
Smaointe,Enya,eist le mo chroi go bronach a choich ta me cailte gan ta  s do bhean cheile an gro mor i do shaoil threorai si me bigi liomsa i gconai la  s oich
The Bridge Of Khazad Dum,Enya,urus ni buzra  arras talbabi filluma  ugrud tashniki kurduma  lu  lu  lu  urkhas tanakhi    fire in the deep  flames lick our skin  fear rips our heart  no  no  no  the demon comes  
The Great River,Enya,ai  laurie lantar lassi surinen  yeni unotime ve ramar aldaron  yeni ve linte      alas  golden leaves fall in the wind  long years numberless as  the  wings of trees  long years like swift      verse 2  et earello endorenna utulien  sinome maruvan ar hildinyar tenn  ambar metta    out of the great sea to middle earth i am come  in this place i will abide  and my heirs  unto the ending of the world 
The Breaking of the Fellowship,Enya,when the cold of winter comes  starless night will cover day  in the veiling of the sun  we will walk in bitter rain   but in dreams  i can hear your name  and in dreams  we will meet again   when the seas and mountains fall  and we come  to end of days  in the dark i hear a call  calling me there   i will go there  and back again 
Once You Had Gold,Enya,once you had gold  once you had silver  then came the rains out of the blue  ever and always  always and ever  time gave both darkness and dreams to you    now you can see spring becomes autumn  leaves become gold falling from view  ever and always  always and ever  no one can promise a dream come true  time gave both darkness and dreams to you   what is the dark  shadows around you  why not take heart in the new day  ever and always  always and ever  no one can promise a dream for you  time gave both darkness and dreams to you  
Pilgrim,Enya,pilgrim  how you journey on the road you chose to find out why the winds die and where the stories go  all days come from one day that much you must know  you cannot change what s over but only where you go  one way leads to diamonds  one way leads to gold  another leads you only to everything you re told  in your heart you wonder which of these is true  the road that leads to nowhere  the road that leads to you   will you find the answer in all you say and do  will you find the answer in you   each heart is a pilgrim  each one wants to know the reason why the winds die and where the stories go  pilgrim  in your journey you may travel far  for pilgrim it s a long way to find out who you are  pilgrim it s a long way to find out who you are  pilgrim it s a long way to find out who you are
Paint the Sky With Stars,Enya,suddenly before my eyes hues of indigo arise with them how my spirit sighs paint the sky with stars   only night will ever know why the heavens never show all the dreams there are to know paint the sky with stars  who has placed the midnight sky so a spirit has to fly  as the heavens seem so far now  who will paint the midnight star   night has brought to those who sleep only dreams they cannot keep i have legends in the deep paint the sky with stars   who has placed the midnight sky so a spirit has to fly  as the heavens seem so far now  who will paint the midnight star   place a name upon the night one to set your heart alight and to make the darkness bright paint the sky with stars  
La Soñadora,Enya,yo  el otoño yo  el vespero he sido un eco   seré una ola seré la luna he sido todo  soy yo    yo  el verano yo  el ébano soy la soñadora   
Orinoco Flow [Edit],Enya,let me sail  let me sail  let the orinoco flow  let me reach  let me beach on the shores of tripoli  let me sail  let me sail  let me crash upon your shore  let me reach  let me beach far beyond the yellow sea  de de de de de    sailway     from bissau to palau in the shade of avalon  from fiji to tiree and the isles of ebony  from peru to cebu  feel the power of babylon  from bali to cali  far beneath the coral sea  de de de de de    sail away    turn it up   adieu  ooh  from the north to the south  ebudau unto khartoum  from the deep sea of clouds to the island of the moon  carry me on the waves to the lands i ve never seen  carry me on the lands i ve never seen  we can sail  with the orinoco flow  wecan sail away    we can steer  we can near with rob dickins at the wheel  we can sigh  say goodbyeross and his dependencies  we can sail away  repeat and fade  
I May Not Awaken,Enya,when the warmth of the day becomes the night who could sleep beneath a strange moonlight  no guiding star so far from home   walked the way o  promise to find but snow throughout  the voice of the winds brings nothing more than low echoes so far from home   even from a child a wish is not enough for me  for me the sky may fall and even from a child a dream is not enough could be  could be the sky may fall could be  could be the night ends all   no rains could weep as i have wept to know a simple dream will not be kept i am a child so far from home   one by one the sky falls i may not awaken
'S Fagain Mo Bhaile,Enya,maidin is tús an lae is fágaim mo bhaile tá mo chroíse go brón is fad are shiúl m óige   oíche is mé liom féin spéartha dubh go domhain  a choích ag cuimhneach are laethanta a bhí gan ghá agus gan ghruaim eistim leis an ghaoth uaigneas mór  go deo  a choích   deireadh an turas mór táim brónach  buartha  s briste i mo dhiaidh nach mbeidh níos mó ach  tá sé i ndán dúinn  a pháistí   is fada anois an lá a d fhág mé mo bhaile níl áthas i mo chroí níl ann ach an marbh 
Book of Days [From Far and Away],Enya,one day  one night  one moment my dreams could be tomorrow one step  one fall  one falter east or west  over earth or by ocean one way to be my journey this way could be my book of days  no day  no night  no moment can hold me back from trying i ll flag  i ll fall  i ll falter i ll find my day maybe far and away far and away  one day  one night  one moment with a dream to be living one step  one fall  one falter and a new world that cross a wide ocean this sway became my journey this day ends together far and away  this day ends together far and away far and away 
"Storms in Africa, Pt. 2",Enya,though i walk through warm sands in africa winds will grow soon to storms in africa   how far to go i cannot say  how many more will journey this way   dark skies fall on black earth and ivory  far from your sun clouds now close over me   how far to go i cannot say  how many more will journey this way   storms have come  rains wash the earth away dark skies fall down into another day  rains have now come from storms in africa time will go on through storms in africa
Exile [From L.A. Story],Enya,cold as the northern winds in december mornings  cold is the cry that rings from this far distand shore    winter has come too late too close beside me  how can i chase away all these fears deep inside    i ll wait the signs to come  i ll find a way i will wait the time to come  i ll find a way home    my light shall be the moon and my path   the ocean  my guide the morning star as i sail home to you    i ll wait the signs to come  i ll find a way  i will wait the time to come  i ll find a way home    who then can warm my soul  who can quell my passion  out of these dreamsqa boat i will sail home to you  
Watermark [From Green Card],Enya,cursum perficio    cursum perficio   verbum sapienti   quo plus habent   eo plus cupiunt   post nubila  phoebus  iternum     translation   i am making an end to my course   a word to the wise   the more  people  have  the more they want   after the clouds  phoebus  over and over again    
Na Laetha Geal M'oige,Enya,ag amharc trí m óige  sé mé bhí sámh  gan eolas marbh  bhí mé óg gan am     anois táim buartha   s fad ar shiúl an lá  ochón is ochón ó    na laetha geal m óige  bhí siad lán de dhóchas  an bealach mó a bhí romhan ansin  bhí sé i ndán dom go mbeadh mé slán  
The Frog Prince,Enya,deep in my dreams   i saw you close by my side   and the words you said to me   made me reel down deep inside   my hand in your hand   so warm and so lovingly   leaving all my dreams behind   wonder who my prince will be      chorus    what is this wonder   that love can make you feel   am i deep now in slumber   or is my prince real   now  now my dream   is standing close by my side   saying words i wish to hear   and i m reeling deep inside      chorus   morning has come   my dreams are left far behind   as i walk through paris streets   i know now what i shall find   this smile on my face   will carry a love i have known   like a fairytale come true   oh  what joy this love has shown
Dreams,Enya,you re everything my dreams have seen   but  what are dreams   i m walking where my dreams have been   but  what are dreams     can i believe these spells i feel   i m wary now   can i believe  or is this real   i m wary now     just like some new born creature  i   what are dreams   a child in need of love and care   tell me what  tell me what  are dreams     can i believe these spells i feel   i m wary now   can i believe  or is this real   i m wary now     just like some new born creature  i   what are dreams   a child in need of love and care   tell me what  tell me what  are dreams 
Never Get Old,Enya, god commanded his angels concerning you to guard you in all your ways  they will lift you up in their arms to keep you from striking your foot against a stone  you will tread upon the lion and the cobra you will trample the great lion and the serpent    young woman with a drink in her hand she like to listen to rock and roll she moves with the music  cause it never gets old it s the only thing  that never gets old  young man in a quiet place got a hawk on his arm  he loves that bird never does no harm it s the only thing  that never can do no harm must be the only thing  that never can do no harm  sun setting on the avenue everyone walks by they live their life under cover  being blind being blind being blind
Wild Child [Radio Edit],Enya,ever close your eyes ever stop and listen ever feel alive and you ve nothing missing you don t need a reason let the day go on and on  let the rain fall down everywhere around you give into it now let the day surround you you don t need a reason let the rain go on and on  what a day  what a day to take to what a way  what a way to make it through what a day  what a day to take to a wild child  only take the time from the helter skelter every day you find everything s in kilter you don t need a reason let the day go on and on  every summer sun every winter evening every spring to come every autumn leaving you don t need a reason let it all go on and on  what a day  what a day to take to what a way  what a way to make it through what a day  what a day to take to a wild child  what a day  what a day to take to what a way  what a way to make it through what a day  what a day to take to a wild child  what a day  what a day to take to what a way  what a way to make it through what a day  what a day to take to da da da da da da da da da what a way  what a way to make it through da da da da da da da da da da da da da da da da da da what a way  what a way to make it through what a day  what a day to take to a wild child what a day  what a day to take to a wild child
